station_id,root_grdc_no,test_start_year,test_end_year
1159811,1159105,2017,2019
1159300,1159105,2017,2019
1159301,1159105,2017,2019
1159302,1159105,2017,2019
1159813,1159105,2017,2019
1159815,1159105,2017,2019
1159820,1159105,2017,2019
1159830,1159105,2017,2019
1159450,1159105,2017,2019
1159330,1159105,2017,2019
1159335,1159105,2017,2019
1159337,1159105,2017,2019
1259060,1159105,2017,2019
1159100,1159105,2017,2019
1259070,1159105,2017,2019
1159105,1159105,2017,2019
1159490,1159105,2017,2019
1159120,1159105,2017,2019
1159513,1159105,2017,2019
1259100,1159105,2017,2019
1259103,1159105,2017,2019
1259104,1159105,2017,2019
1159650,1159105,2017,2019
1159651,1159105,2017,2019
1159653,1159105,2017,2019
1159655,1159105,2017,2019
1159400,1159105,2017,2019
1259112,1159105,2017,2019
1159403,1159105,2017,2019
1159660,1159105,2017,2019
1159535,1159105,2017,2019
1159413,1159105,2017,2019
1159415,1159105,2017,2019
1159545,1159105,2017,2019
1159805,1159105,2017,2019
1160263,1160266,2017,2019
1160295,1160266,2017,2019
1160265,1160266,2017,2019
1160266,1160266,2017,2019
1160245,1160266,2017,2019
1160102,1160305,2018,2021
1160300,1160305,2018,2021
1160301,1160305,2018,2021
1160303,1160305,2018,2021
1160304,1160305,2018,2021
1160305,1160305,2018,2021
1160317,1160305,2018,2021
1160580,1160580,2018,2021
1160520,1160580,2018,2021
1160528,1160580,2018,2021
1160529,1160580,2018,2021
1160533,1160580,2018,2021
1160510,1160580,2018,2021
1160770,1160777,2017,2018
1160773,1160777,2017,2018
1160774,1160777,2017,2018
1160775,1160777,2017,2018
1160777,1160777,2017,2018
1160763,1160777,2017,2018
1160710,1160788,2020,2021
1160715,1160788,2020,2021
1160720,1160788,2020,2021
1160788,1160788,2020,2021
1160725,1160788,2020,2021
1196710,1196850,2017,2018
1196104,1196850,2017,2018
1196175,1196850,2017,2018
1196850,1196850,2017,2018
1196150,1196850,2017,2018
1196700,1196850,2017,2018
1196190,1196850,2017,2018
1197505,1197090,2017,2018
1197090,1197090,2017,2018
1197507,1197090,2017,2018
1197540,1197090,2017,2018
1197310,1197090,2017,2018
1197001,1197090,2017,2018
1197550,1197090,2017,2018
1197010,1197090,2017,2018
1197300,1197090,2017,2018
1197593,1197090,2017,2018
1197500,1197090,2017,2018
1197501,1197090,2017,2018
1197502,1197090,2017,2018
1,187,2017,2019
2,187,2017,2019
3,187,2017,2019
4,187,2017,2019
5,187,2017,2019
6,187,2017,2019
7,187,2017,2019
8,187,2017,2019
9,187,2017,2019
10,187,2017,2019
11,187,2017,2019
12,187,2017,2019
13,187,2017,2019
14,187,2017,2019
15,187,2017,2019
16,187,2017,2019
17,187,2017,2019
18,187,2017,2019
19,187,2017,2019
20,187,2017,2019
21,187,2017,2019
22,187,2017,2019
23,187,2017,2019
24,187,2017,2019
25,187,2017,2019
26,187,2017,2019
27,187,2017,2019
28,187,2017,2019
29,187,2017,2019
30,187,2017,2019
31,187,2017,2019
32,187,2017,2019
33,187,2017,2019
34,187,2017,2019
35,187,2017,2019
36,187,2017,2019
37,187,2017,2019
38,187,2017,2019
39,187,2017,2019
40,187,2017,2019
41,187,2017,2019
42,187,2017,2019
43,187,2017,2019
44,187,2017,2019
45,187,2017,2019
46,187,2017,2019
47,187,2017,2019
48,187,2017,2019
49,187,2017,2019
50,187,2017,2019
51,187,2017,2019
52,187,2017,2019
53,187,2017,2019
54,187,2017,2019
55,187,2017,2019
56,187,2017,2019
57,187,2017,2019
58,187,2017,2019
59,187,2017,2019
60,187,2017,2019
61,187,2017,2019
62,187,2017,2019
63,187,2017,2019
64,187,2017,2019
65,187,2017,2019
66,187,2017,2019
67,187,2017,2019
68,187,2017,2019
69,187,2017,2019
70,187,2017,2019
71,187,2017,2019
72,187,2017,2019
73,187,2017,2019
74,187,2017,2019
75,187,2017,2019
76,187,2017,2019
77,187,2017,2019
78,187,2017,2019
79,187,2017,2019
80,187,2017,2019
81,187,2017,2019
